Frequency,RinV
Frequency,RinV
306,6.40055e-07
306,1.21189e-06
306,3.72344e-06
306,2.55556e-06
306,3.75371e-06
306,1.1439e-06
306,3.7579e-07
306,1.22307e-06
306,1.94555e-06
306,1.59373e-06
306,1.19606e-06
306,3.40586e-06
306,3.82427e-06
306,2.9558e-06
306,3.89063e-06
306,2.41051e-06
306,3.26383e-06
306,3.08013e-06
306,1.346e-06
306,2.08757e-06
306,7.61593e-07
306,2.47128e-06
306,3.50225e-06
306,3.20633e-06
306,4.18469e-06
306,3.49899e-06
306,1.13226e-06
306,1.47289e-06
306,1.03797e-06
306,2.66453e-06
306,3.38538e-07
306,1.99048e-06
306,1.37697e-06
306,2.90621e-06
306,1.31108e-06
306,2.84637e-06
306,1.71737e-06
306,1.78559e-06
306,1.42609e-06
306,1.58069e-06
306,2.86197e-06
306,1.89385e-06
306,5.79286e-07
306,2.17884e-06
306,8.02105e-07
306,2.03123e-06
306,2.36441e-06
306,1.37883e-06
306,2.48967e-06
306,9.15028e-07
306,1.38209e-06
306,1.74321e-06
306,1.13832e-06
306,2.82565e-06
306,2.67827e-06
306,1.60374e-06
306,2.30248e-06
306,2.03006e-06
306,1.3162e-06
306,1.44123e-06
306,5.39938e-07
306,8.82432e-07
306,1.10409e-06
306,9.00825e-07
306,2.30387e-06
306,1.96534e-06
306,1.0836e-06
306,8.56122e-07
306,2.86919e-06
306,2.80516e-06
306,3.8741e-06
306,2.60353e-06
306,1.21794e-06
306,1.60724e-06
306,2.83729e-06
306,2.33298e-06
306,3.05196e-06
306,3.19259e-06
306,1.18442e-06
306,2.01051e-06
306,1.93204e-06
306,7.4576e-07
308,1.83122e-07
308,8.85109e-07
308,1.31271e-06
308,3.10598e-07
308,2.18432e-06
308,1.4105e-06
308,2.18432e-06
308,2.16837e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,1.57371e-06
308,1.91342e-06
308,1.59129e-06
308,2.11039e-06
308,9.67186e-07
308,1.64309e-06
308,1.36696e-06
308,7.5973e-07
308,2.0665e-06
308,1.87697e-06
308,1.50025e-06
308,9.77547e-07
308,6.37843e-07
308,1.0084e-06
308,7.9966e-07
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,1.32598e-06
308,2.11575e-06
308,1.8396e-06
308,2.08781e-06
308,1.7644e-06
308,1.1368e-06
308,1.47662e-06
308,2.18432e-06
308,1.11177e-06
308,1.46288e-06
308,1.04192e-06
308,1.57778e-06
308,2.00271e-06
308,2.18432e-06
308,2.0665e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,1.72482e-06
308,9.43666e-07
308,1.64368e-06
308,8.09207e-07
308,1.9459e-06
308,1.72831e-06
308,2.18432e-06
308,2.18432e-06
308,1.95253e-06
308,1.82866e-06
308,1.37476e-06
308,1.6545e-06
308,2.18432e-06
308,2.18432e-06
308,1.39059e-06
308,5.97796e-07
308,2.07512e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,1.71853e-06
308,1.55299e-06
308,1.1382e-06
308,6.97797e-07
308,2.11877e-07
308,4.20727e-07
308,9.45529e-07
308,9.50418e-07
308,1.77627e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.08082e-06
308,1.37499e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
308,2.18432e-06
310,2.0693e-06
310,1.95579e-06
310,1.78722e-06
310,1.33867e-06
310,1.20665e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,1.53634e-06
310,6.00241e-07
310,2.18432e-06
310,2.18432e-06
310,1.91563e-06
310,2.18432e-06
310,2.18432e-06
310,1.88291e-06
310,1.44204e-06
310,2.16732e-06
310,2.18432e-06
310,2.18432e-06
310,1.12609e-06
310,1.02574e-06
310,1.28477e-06
310,1.4921e-06
310,2.01167e-06
310,2.18432e-06
310,2.1232e-06
310,1.06125e-06
310,9.51815e-07
310,1.02784e-06
310,2.26662e-07
310,8.71489e-07
310,1.30886e-06
310,1.61201e-06
310,1.95637e-06
310,1.04192e-06
310,9.97803e-07
310,4.43544e-07
310,3.34579e-07
310,1.96196e-06
310,2.18432e-06
310,2.18432e-06
310,1.76836e-06
310,1.9459e-06
310,1.38756e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,6.52046e-07
310,7.27483e-07
310,3.47502e-07
310,1.27883e-06
310,1.57045e-06
310,1.82039e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,9.82203e-07
310,1.82866e-06
310,1.35753e-06
310,8.14678e-07
310,1.81096e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,2.18432e-06
310,1.51934e-06
310,1.21946e-06
310,1.01177e-06
310,2.18432e-06
310,1.47906e-06
310,1.95649e-06
310,2.18432e-06
310,1.52714e-06
310,2.18432e-06
310,2.18432e-06
310,2.05067e-06
310,1.9693e-06
310,1.22924e-06
310,1.31096e-06
310,1.07708e-06
310,8.78241e-07
310,7.2562e-07
310,4.16885e-07
310,7.39707e-07
310,1.24938e-06
310,4.81148e-07
310,1.30456e-06
310,8.91745e-07
310,9.78944e-07
310,3.30971e-07
