Frequency,RinV
300,9.3212e-06
300,8.38382e-06
300,7.41289e-06
300,6.94909e-06
300,7.40358e-06
300,8.02992e-06
300,8.26368e-06
300,8.09325e-06
300,7.69977e-06
300,7.59217e-06
300,8.24459e-06
300,9.42411e-06
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.08793e-05
300,9.70816e-06
300,8.83598e-06
300,8.40059e-06
300,8.43132e-06
300,8.2539e-06
300,8.21851e-06
300,9.14145e-06
300,1.01068e-05
300,1.04984e-05
300,1.07415e-05
300,1.09217e-05
300,1.09217e-05
300,1.06791e-05
300,9.6127e-06
300,8.73354e-06
300,8.12724e-06
300,7.52186e-06
300,6.63477e-06
300,5.97633e-06
300,5.52231e-06
300,4.71532e-06
300,4.21939e-06
300,3.94278e-06
300,3.94371e-06
300,4.83359e-06
300,5.53954e-06
300,5.94466e-06
300,6.56073e-06
300,7.48227e-06
300,8.27253e-06
300,8.69116e-06
300,9.45019e-06
300,9.55869e-06
300,9.82318e-06
300,1.01901e-05
300,9.77243e-06
300,9.13168e-06
300,8.5496e-06
300,7.96147e-06
300,7.93353e-06
300,8.10955e-06
300,7.74633e-06
300,7.38123e-06
300,6.98309e-06
300,6.78518e-06
300,7.09252e-06
300,7.91444e-06
300,8.40618e-06
300,8.87696e-06
300,9.05158e-06
300,9.13121e-06
300,8.83645e-06
300,8.60688e-06
300,8.4574e-06
300,8.39267e-06
300,8.21619e-06
300,8.456e-06
300,9.20013e-06
300,9.75287e-06
300,1.01398e-05
300,1.03615e-05
300,1.04635e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.0388e-05
300,9.3822e-06
300,8.44622e-06
300,7.66391e-06
300,7.02127e-06
300,6.41032e-06
300,6.91929e-06
300,7.59403e-06
300,8.24832e-06
300,8.66415e-06
300,8.99477e-06
302,4.49948e-06
302,4.31717e-06
302,4.07363e-06
302,3.22216e-06
302,2.36068e-06
302,1.19443e-06
302,2.03029e-07
302,1.17953e-06
302,1.99025e-06
302,2.47244e-06
302,2.909e-06
302,3.30039e-06
302,3.53252e-06
302,4.10227e-06
302,4.55909e-06
302,4.20961e-06
302,2.99235e-06
302,1.26055e-06
302,2.56371e-06
302,4.61194e-06
302,5.26643e-06
302,5.23197e-06
302,4.24127e-06
302,2.91389e-06
302,9.69514e-07
302,3.09899e-07
302,1.21725e-06
302,2.18653e-06
302,3.34602e-06
302,4.28784e-06
302,4.4578e-06
302,3.2778e-06
302,2.07337e-06
302,1.18209e-06
302,1.86638e-06
302,2.52041e-06
302,2.64194e-06
302,2.86639e-06
302,3.53252e-06
302,3.58095e-06
302,4.01612e-06
302,3.86199e-06
302,3.5111e-06
302,2.87338e-06
302,1.7346e-06
302,9.45995e-07
302,2.14788e-06
302,3.63241e-06
302,3.59445e-06
302,2.87501e-06
302,2.15603e-06
302,1.74088e-06
302,1.44868e-06
302,6.57285e-07
302,6.75911e-07
302,1.18581e-06
302,1.79536e-06
302,1.90946e-06
302,1.60095e-06
302,4.6599e-06
302,3.78538e-06
302,2.71715e-06
302,2.1672e-06
302,1.6857e-06
302,2.12017e-06
302,1.8538e-06
302,2.7572e-06
302,2.6459e-06
302,1.85567e-06
302,1.51154e-06
302,2.82565e-06
302,4.55606e-06
302,5.45572e-06
302,5.50973e-06
302,3.83242e-06
302,3.11389e-06
302,1.97814e-06
302,2.07407e-06
302,2.3828e-06
302,3.10365e-06
302,3.58048e-06
302,3.6983e-06
302,2.71109e-06
302,2.43403e-06
302,3.04777e-06
302,3.3104e-06
302,2.60958e-06
302,2.34555e-06
302,3.63729e-06
302,4.95606e-06
302,4.69902e-06
302,2.95929e-06
302,6.40288e-07
302,2.60492e-06
302,4.8173e-06
302,5.43662e-06
302,4.96817e-06
302,4.17235e-06
302,4.09412e-06
302,3.73927e-06
304,2.00748e-06
304,1.25008e-06
304,3.39003e-07
304,1.41818e-06
304,1.51993e-06
304,2.631e-07
304,1.5297e-06
304,2.42984e-06
304,2.50434e-06
304,1.49571e-06
304,8.9547e-07
304,2.01889e-06
304,2.13274e-06
304,1.6247e-06
304,1.34344e-07
