Frequency,RinV
1018,1.01105
1018,0.790165
1018,0.959415
1018,0.384462
1018,0.200807
1018,0.437197
1018,0.622257
1018,0.687687
1018,0.685123
1018,0.695744
1018,0.486574
1018,0.591434
1018,0.0709233
1018,0.19568
1018,0.473024
1018,0.854618
1018,0.890751
1018,0.664738
1018,0.897221
1018,0.660831
1018,0.0504763
1018,0.424318
1018,0.544559
1018,0.667606
1018,0.658085
1018,0.666569
1018,0.661991
1018,0.696232
1018,0.552311
1018,0.525394
1018,0.394594
1018,0.0570071
1018,0.321108
1018,0.997013
1018,0.967655
1018,0.979374
1018,0.355898
1018,0.300234
1018,0.309023
1018,0.188355
1018,0.68494
1018,0.660038
1018,0.694767
1018,0.500736
1018,0.58704
1018,0.120179
1018,0.14734
1018,0.616764
1018,1.06544
1018,0.965458
1028,0.688419
1028,0.529972
1028,0.481325
1028,0.484682
1028,0.0204469
1028,0.238465
1028,0.515202
1028,0.892399
1028,0.780643
1028,0.582829
1028,0.311037
1028,0.436708
1028,0.0554812
1028,0.310244
1028,0.655827
1028,0.691532
1028,0.535404
1028,0.531559
1028,0.540409
1028,0.0629277
1028,0.324282
1028,0.638676
1028,0.962223
1028,0.958317
1028,0.350588
1028,0.298403
1028,0.32361
1028,0.595768
1028,0.679874
1028,0.640385
1028,0.662724
1028,0.489443
1028,0.13318
1028,0.39081
1028,1.06049
1028,0.986149
1028,0.896793
1028,0.377077
1028,0.341066
1028,0.479433
1028,0.638798
1028,0.684269
1028,0.688358
1028,0.513676
1028,0.0452883
1028,0.534794
1028,0.474123
1028,0.875065
1028,0.649906
1028,0.671818
1038,0.686039
1038,0.486391
1038,0.461672
1038,0.484926
1038,0.253786
1038,0.505131
1038,0.245118
1038,0.841923
1038,1.01508
1038,0.887211
1038,0.556339
1038,0.0732427
1038,0.436892
1038,0.5564
1038,0.665348
1038,0.642887
1038,0.688602
1038,0.687504
1038,0.532291
1038,0.355349
1038,0.0813603
1038,0.335939
1038,0.655766
1038,0.763248
1038,0.949162
1038,0.371584
1038,0.306459
1038,0.242616
1038,0.199769
1038,0.680241
1038,0.669132
1038,0.547245
1038,1.04444
1038,0.32947
1038,0.275576
1038,0.519779
1038,0.653629
1038,0.662907
1038,0.687443
1038,0.566044
1038,0.50983
1038,0.294741
1038,0.583927
1038,0.852848
1038,0.96204
1038,0.967716
1038,0.301394
1038,0.344728
1038,0.16266
1038,0.677189
1048,0.400209
1048,1.04426
1048,0.601566
1048,0.810429
1048,0.17859
1048,0.261232
1048,0.663639
1048,0.681583
1048,0.410463
1048,0.562565
1048,0.869022
1048,0.950687
1048,0.377748
1048,0.294497
1048,0.341921
1048,0.154542
1048,0.383181
1048,0.636723
1048,0.682316
1048,0.674381
1048,0.644169
1048,0.122986
1048,0.148988
1048,0.603519
1048,1.03712
1048,0.333803
1048,0.394289
1048,0.166322
1048,0.648258
1048,0.659367
1048,0.683475
1048,0.566105
1048,0.501225
1048,0.399355
1048,0.0324099
1048,0.293337
1048,0.957279
1048,0.974186
1048,0.28882
1048,0.311403
1048,0.182069
1048,0.397707
1048,0.654301
1048,0.631596
1048,0.673038
1048,0.629887
1048,0.0985112
1048,0.169679
1048,0.425539
1048,1.03309
1058,0.644413
1058,0.679142
1058,0.524845
1058,0.0683599
1058,0.375917
1058,0.64893
1058,0.761417
1058,0.308901
1058,0.198853
1058,0.611576
1058,0.673954
1058,0.670658
1058,0.561588
1058,0.61591
1058,0.673466
1058,0.673649
1058,0.550724
1058,0.472109
1058,0.213746
1058,0.701603
1058,1.01148
1058,0.861515
1058,0.421694
1058,0.0638433
1058,0.427431
1058,0.545963
1058,0.309694
1058,0.634037
1058,0.680302
1058,0.675846
1058,0.673283
1058,0.273317
1058,0.102112
1058,0.356447
1058,0.723087
1058,0.66431
1058,0.893375
1058,0.372683
1058,0.192994
1058,0.472475
1058,0.627567
1058,0.668827
1058,0.675541
1058,0.677677
1058,0.472109
1058,0.254274
1058,0.512882
1058,0.997746
1058,0.917606
1058,0.387819
1068,0.467348
1068,0.160035
1068,0.415712
1068,1.02003
1068,0.884708
