Frequency,RinV
1018,0.388613
1018,0.91309
1018,0.411989
1018,0.188905
1018,0.462404
1018,0.624577
1018,0.692997
1018,0.686893
1018,0.623478
1018,0.0820317
1018,0.145997
1018,0.412661
1018,0.787601
1018,0.963017
1018,0.912479
1018,0.196961
1018,0.194154
1018,0.473635
1018,0.623722
1018,0.693668
1018,0.621159
1018,0.696903
1018,0.685917
1018,0.645512
1018,0.508915
1018,0.124878
1018,0.376833
1018,0.722355
1018,0.632572
1018,1.0323
1018,1.00446
1018,0.93787
1018,0.221681
1018,0.187135
1018,0.689091
1018,0.651249
1018,0.697208
1018,0.691105
1018,0.683414
1018,0.238099
1018,0.575687
1018,0.318666
1018,0.0734258
1018,0.323183
1018,0.964481
1018,1.01392
1018,0.940861
1018,0.458742
1018,0.113953
1018,0.425844
1068,0.0548098
1068,0.829716
1068,0.622684
1068,1.04505
1068,0.938541
1068,0.881107
1068,0.200868
1068,0.185914
1068,0.674503
1068,0.665104
1068,0.605289
1068,0.48871
1068,0.571537
1068,0.390932
1068,0.735294
1068,0.606205
1068,0.908695
1068,0.405214
1068,0.315126
1068,0.404604
1068,0.593327
1068,0.66431
1068,0.667362
1068,0.579411
1068,0.208192
1068,0.0965581
1068,0.341372
1068,0.964909
1068,0.96674
1068,0.907902
1068,0.392702
1068,0.132752
1068,0.328981
1068,0.563725
1068,0.654789
1068,0.674992
1068,0.67371
1068,0.383974
1068,0.0369265
1068,0.290712
1068,0.887211
1068,1.01258
1068,0.878422
1068,1.03028
1068,0.31531
1068,0.4303
1068,0.0549929
1068,0.64362
1068,0.67432
1068,0.670841
1118,0.360109
1118,0.607609
1118,0.657291
1118,0.651676
1118,0.510258
1118,0.0712285
1118,0.533634
1118,0.38373
1118,1.00428
1118,0.342409
1118,0.352419
1118,0.449099
1118,0.598576
1118,0.658573
1118,0.642887
1118,0.657413
1118,0.473757
1118,0.557133
1118,0.122193
1118,0.751163
1118,0.580997
1118,0.994877
1118,0.382204
1118,0.323244
1118,0.412355
1118,0.57642
1118,0.649906
1118,0.613529
1118,0.657475
1118,0.475771
1118,0.559818
1118,0.319033
1118,0.667667
1118,0.668461
1118,0.931828
1118,0.0868535
1118,0.132508
1118,0.596378
1118,1.00489
1118,0.927921
1118,0.339113
1118,0.153993
1118,0.591862
1118,0.652592
1118,0.630802
1118,0.613102
1118,0.467531
1118,0.109009
1118,0.347231
1118,0.679996
1168,0.596256
1168,0.514835
1168,0.628239
1168,0.60297
1168,0.118958
1168,0.105774
1168,0.566166
1168,0.960209
1168,0.377504
1168,0.302614
1168,0.393496
1168,0.552921
1168,0.637821
1168,0.626774
1168,0.621586
1168,0.467592
1168,0.0942388
1168,0.323854
1168,0.61414
1168,0.707584
1168,0.854801
1168,0.915348
1168,0.849796
1168,0.95435
1168,0.802616
1168,0.482302
1168,0.031006
1168,0.486391
1168,0.416079
1168,0.763737
1168,0.592411
1168,0.986881
1168,0.902225
1168,0.338442
1168,0.185304
1168,0.175904
1168,0.427126
1168,0.626041
1168,0.638309
1168,0.470095
1168,0.528568
1168,0.361147
1168,0.710819
1168,0.903812
1168,0.854862
1168,0.172853
1168,0.166078
